step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,99.65,2141976.75,0.403853,1.3838606290519237e-08,1.151057,0.8,75.765,0.7,22.1
2,1,99.85,1073120.13,0.424269,1.5798580572009085e-08,1.117271,327.2,0.1956,1.3,22.1
3,1,100.44,719557.61,0.470277,1.7758554853498933e-08,0.631017,324.8,0.1971,2.0,22.1
4,1,101.02,542766.95,0.442792,1.971852913498878e-08,1.469542,327.3,0.1956,2.6,22.0
5,1,101.6,436701.36,0.478115,2.1678503416478628e-08,0.765482,326.8,0.1959,3.3,22.0
6,1,102.18,365991.53,0.454689,2.3638477697968476e-08,1.175357,326.3,0.1961,3.9,21.9
7,1,102.77,315482.94,0.440914,2.5598451979458327e-08,1.047809,326.8,0.1959,4.5,21.9
8,1,103.35,277603.67,0.482758,2.7558426260948174e-08,1.65545,327.5,0.1954,5.2,21.8
9,1,103.94,248142.36,0.459957,2.9518400542438022e-08,1.195567,326.5,0.196,5.8,21.8
10,1,104.52,224574.6,0.490866,3.147837482392787e-08,1.098202,324.2,0.1974,6.5,21.7
11,1,105.1,205287.83,0.473791,3.3438349105417724e-08,0.975508,326.8,0.1958,7.1,21.7
12,1,105.69,189217.57,0.450163,3.539832338690757e-08,0.673991,326.6,0.196,7.7,21.7
13,1,106.27,175621.31,0.471117,3.735829766839741e-08,1.116112,325.7,0.1965,8.3,21.6
14,1,106.86,163966.66,0.441391,3.9318271949887263e-08,0.872899,325.7,0.1965,9.0,21.6
15,1,107.44,153865.56,0.408832,4.1278246231377114e-08,0.638061,326.0,0.1963,9.6,21.5
16,1,108.03,145026.28,0.468338,4.323822051286696e-08,0.683982,325.8,0.1965,10.2,21.5
17,1,108.61,137228.75,0.429914,4.519819479435681e-08,0.978293,324.8,0.197,10.8,21.5
18,1,109.2,130298.61,0.485894,4.715816907584666e-08,1.095744,323.8,0.1976,11.4,21.4
19,1,109.79,124097.69,0.462069,4.911814335733651e-08,0.937512,324.0,0.1975,12.1,21.4
20,1,110.37,118517.32,0.431803,5.107811763882636e-08,1.13413,323.0,0.1982,12.7,21.3
21,1,110.96,113471.19,0.405631,5.3038091920316214e-08,0.90113,324.0,0.1975,324.9,0.2
22,1,111.55,108880.4,0.467543,5.499806620180606e-08,1.220803,323.7,0.1977,324.7,0.2
23,1,112.14,104690.61,0.43835,5.695804048329591e-08,0.709276,322.6,0.1984,324.5,0.3
24,1,112.72,100850.21,0.427359,5.891801476478576e-08,0.797855,322.7,0.1983,324.2,0.3
25,1,113.31,97316.44,0.41915,6.08779890462756e-08,0.483867,322.5,0.1985,323.9,0.3
26,1,113.9,94054.34,0.456136,6.283796332776546e-08,0.846848,322.8,0.1983,323.7,0.3
27,1,114.49,91036.37,0.430249,6.47979376092553e-08,1.07072,321.8,0.1989,323.5,0.3
28,1,115.08,88230.98,0.448305,6.675791189074516e-08,0.639898,323.3,0.1979,323.2,0.4
29,1,115.67,85622.09,0.512122,6.871788617223501e-08,0.813726,320.5,0.1997,322.8,0.4
