step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,70.63,1518146.21,0.419399,1.3838606290519237e-08,1.018552,1.1,58.7922,1.0,12.1
2,1,70.87,761686.07,0.46162,1.5798580572009085e-08,1.000217,275.3,0.2325,1.9,12.1
3,1,71.55,512608.32,0.459395,1.7758554853498933e-08,0.957185,269.8,0.2372,2.8,12.0
4,1,72.22,388058.67,0.431158,1.971852913498878e-08,0.545386,272.7,0.2347,3.8,12.0
5,1,72.9,313326.03,0.399381,2.1678503416478628e-08,0.825519,275.7,0.2322,4.7,12.0
6,1,73.57,263515.64,0.482299,2.3638477697968476e-08,0.961682,272.4,0.235,5.6,11.9
7,1,74.25,227937.65,0.456273,2.5598451979458327e-08,0.893212,271.1,0.2361,6.6,11.9
8,1,74.93,201254.1,0.41241,2.7558426260948174e-08,0.868337,272.4,0.235,7.5,11.8
9,1,75.6,180500.62,0.416078,2.9518400542438022e-08,0.815814,271.1,0.2361,8.4,11.8
10,1,76.28,163899.24,0.436882,3.147837482392787e-08,1.01788,270.5,0.2366,9.3,11.8
11,1,76.96,150312.62,0.429421,3.3438349105417724e-08,0.804175,272.0,0.2353,10.2,11.7
12,1,77.64,138994.21,0.427925,3.539832338690757e-08,0.624953,271.2,0.236,11.0,11.7
13,1,78.32,129420.01,0.412939,3.735829766839741e-08,0.603837,270.5,0.2366,11.9,11.7
14,1,78.99,121211.54,0.459452,3.9318271949887263e-08,0.684199,270.2,0.2368,12.8,11.6
15,1,79.67,114097.66,0.416877,4.1278246231377114e-08,0.674866,270.4,0.2367,13.7,11.6
16,1,80.35,107871.01,0.43764,4.323822051286696e-08,0.628851,271.0,0.2361,14.5,11.5
17,1,81.03,102379.31,0.392361,4.519819479435681e-08,0.900082,271.4,0.2358,15.4,11.5
18,1,81.71,97498.17,0.463037,4.715816907584666e-08,0.81458,269.6,0.2374,16.2,11.5
19,1,82.39,93128.69,0.431537,4.911814335733651e-08,0.891216,269.8,0.2372,17.1,11.4
20,1,83.07,89197.81,0.484846,5.107811763882636e-08,0.740181,271.2,0.236,17.9,11.4
21,1,83.77,85666.37,0.434384,5.3038091920316214e-08,0.842691,270.9,0.2363,269.9,0.6
22,1,84.45,82429.5,0.465245,5.499806620180606e-08,0.842288,269.2,0.2377,269.6,0.6
23,1,85.13,79479.77,0.440656,5.695804048329591e-08,0.796526,264.4,0.2421,269.2,0.6
24,1,85.84,76801.86,0.456884,5.891801476478576e-08,0.782804,235.1,0.2722,267.0,0.6
25,1,86.49,74277.16,0.448904,6.08779890462756e-08,0.700608,273.5,0.234,266.9,0.7
26,1,87.17,71980.82,0.413893,6.283796332776546e-08,0.716327,270.5,0.2366,266.7,0.7
27,1,87.85,69851.48,0.402782,6.47979376092553e-08,0.635701,270.0,0.2371,266.7,0.7
28,1,88.53,67876.96,0.435275,6.675791189074516e-08,0.78984,267.9,0.2389,266.4,0.7
29,1,89.21,66035.03,0.441195,6.871788617223501e-08,0.910187,270.0,0.237,266.3,0.7
30,1,89.89,64317.4,0.438355,7.067786045372486e-08,0.962469,271.2,0.236,266.3,0.7
31,1,90.57,62711.39,0.46003,7.26378347352147e-08,0.669405,270.9,0.2362,266.3,0.7
32,1,91.25,61206.55,0.396952,7.459780901670455e-08,0.76476,269.9,0.2371,266.2,0.7
